the,9076
to,7653
and,7164
of,6656
a,4319
her,4003
in,3737
i,3673
was,3555
it,3390
she,3312
that,2582
be,2403
had,2362
not,2327
as,2293
you,2230
he,2194
for,2122
with,1826
his,1776
but,1720
at,1584
have,1488
s,1387
all,1368
on,1285
is,1266
by,1227
so,1154
him,1152
could,1106
they,1106
very,1078
which,1058
said,1032
no,1014
been,975
would,953
were,952
my,909
from,872
their,843
them,826
mrs,821
this,820
what,782
more,729
or,707
me,700
elinor,685
one,673
an,653
any,628
there,627
than,627
do,618
when,613
such,611
if,591
your,572
marianne,566
will,563
only,556
must,555
much,546
who,522
anne,503
herself,497
every,491
did,472
well,466
little,464
time,462
now,456
should,451
know,447
own,445
mr,434
are,434
how,429
am,426
think,412
might,409
we,405
being,404
some,402
alice,398
never,392
good,391
can,388
out,373
sister,373
other,371
see,363
nothing,362
again,362
lady,361
before,355
though,344
too,342
after,342
miss,339
about,335
soon,328
first,324
has,320
great,318
then,318
without,308
two,307
say,304
captain,303
up,302
mother,300
elliot,289
most,285
t,284
into,280
thought,280
sir,276
may,275
thing,275
house,273
edward,268
ever,268
however,264
made,264
its,262
man,260
quite,260
day,256
make,255
dashwood,252
like,249
always,247
down,240
go,236
sure,233
long,231
jennings,230
over,224
last,224
come,223
wentworth,218
give,217
willoughby,216
even,215
himself,215
away,215
room,214
seemed,211
same,210
shall,210
felt,209
way,208
while,203
dear,203
moment,201
colonel,199
off,199
came,197
many,197
upon,196
enough,192
young,192
still,187
lucy,186
just,186
found,186
place,182
saw,179
indeed,179
better,179
here,175
mind,175
heard,173
oh,171
heart,171
another,167
charles,166
john,166
happy,165
once,165
family,164
replied,162
went,162
perhaps,161
yet,161
left,160
having,160
done,160
rather,159
where,157
something,157
home,157
till,156
tell,155
cried,154
father,153
poor,153
look,153
us,152
present,152
wish,152
going,151
morning,151
almost,151
few,150
feelings,150
russell,148
back,148
looked,148
believe,148
both,147
our,147
hope,144
mary,144
brandon,144
really,142
walter,141
friend,141
myself,141
half,139
woman,137
knew,137
together,136
world,136
began,133
cannot,132
those,131
nor,131
three,131
less,131
musgrove,130
ferrars,130
these,130
seen,129
between,129
acquaintance,125
next,124
hear,123
kind,123
certainly,123
love,122
head,122
therefore,122
yes,122
others,121
whole,121
least,121
life,120
party,120
side,120
take,118
eyes,118
feel,118
voice,118
hardly,117
brother,117
gave,115
get,114
leave,113
far,113
letter,112
louisa,111
under,111
evening,111
old,110
known,110
spirits,110
since,110
each,109
why,109
pleasure,108
years,108
short,108
because,107
does,107
right,107
person,106
people,106
put,105
whom,105
immediately,104
end,104
bath,103
speak,102
ought,102
middleton,102
subject,101
told,101
manner,101
town,101
against,101
visit,100
find,99
gone,99
course,98
towards,98
looking,98
happiness,98
passed,97
wife,95
possible,95
took,95
name,94
friends,94
anything,94
brought,94
got,93
suppose,93
general,92
part,92
near,92
door,91
interest,91
don,90
perfectly,90
deal,90
word,90
barton,89
elizabeth,89
given,88
glad,88
ill,88
opinion,88
affection,88
added,88
called,88
often,87
whether,87
engagement,87
hand,86
smith,86
chapter,86
else,85
comfort,85
attention,85
through,85
character,84
minutes,84
rest,84
within,83
reason,83
round,83
year,83
want,83
talk,83
cottage,83
spoke,83
account,82
longer,82
best,82
wished,82
situation,81
returned,81
conversation,80
continued,80
determined,80
obliged,80
either,80
set,79
saying,79
coming,79
idea,79
let,79
seeing,79
married,78
things,78
children,78
business,78
large,78
themselves,78
able,77
child,77
matter,77
husband,77
change,77
queen,77
palmer,77
uppercross,77
doubt,76
mean,75
regard,75
harville,75
street,75
received,74
henrietta,74
wonder,74
everything,73
neither,73
days,73
answer,73
kellynch,73
among,72
words,72
feeling,72
afterwards,71
marriage,71
already,71
whose,71
use,71
hours,71
hour,71
daughter,70
m,70
four,70
benwick,70
return,70
sort,70
tone,70
object,69
beyond,69
admiral,69
talking,68
sat,68
manners,68
country,68
behaviour,68
surprise,68
lyme,67
sisters,67
question,67
company,67
fortune,67
point,67
carriage,67
wanted,67
walked,67
particular,66
clay,66
different,66
full,66
case,66
farther,66
ready,65
asked,65
pretty,65
turned,64
night,64
talked,64
call,64
open,64
means,64
new,63
agreeable,63
table,63
appeared,63
real,63
king,63
week,63
engaged,62
yourself,62
settled,62
entirely,62
face,62
body,62
doing,62
gentleman,61
ll,61
understand,61
fine,60
stay,60
walk,60
living,60
used,59
giving,59
former,59
kept,59
care,59
turtle,59
taken,59
attachment,59
pleased,59
ladies,59
power,58
live,58
state,58
croft,58
expected,58
men,57
nature,57
kindness,57
strong,57
ask,57
silence,57
usual,57
small,57
conduct,57
alone,57
assure,57
thinking,57
likely,57
thousand,57
low,56
considered,56
hatter,56
park,56
mock,56
directly,56
keep,56
circumstances,55
particularly,55
